date,station,temperature,humidity
2023-10-01,StationA,24.5,65.0
2023-10-02,StationB,22.8,70.5
2023-10-03,StationC,NaN,62.3
2023-10-04,StationA,26.0,NaN
2023-10-05,StationB,NaN,68.9
2023-10-06,StationC,23.7,71.2
2023-10-07,StationA,25.1,67.8
2023-10-08,StationB,22.8,69.4
2023-10-09,StationC,23.5,NaN
2023-10-10,StationA,25.9,65.8
2023-10-11,StationB,22.3,70.7
2023-10-12,StationC,24.1,66.5
2023-10-13,StationA,NaN,69.1
2023-10-14,StationB,22.7,67.2
2023-10-15,StationC,25.2,NaN
2023-10-16,StationA,24.8,66.3
2023-10-17,StationB,NaN,70.9
2023-10-18,StationC,24.3,68.4
2023-10-19,StationA,25.6,NaN
2023-10-20,StationB,23.2,71.5
2023-10-21,StationC,24.7,67.1
2023-10-22,StationA,NaN,68.7
2023-10-23,StationB,24.0,66.9
2023-10-24,StationC,25.8,NaN
2023-10-25,StationA,23.6,68.0
2023-10-26,StationB,23.1,70.3
2023-10-27,StationC,25.3,66.7
2023-10-28,StationA,NaN,69.8
2023-10-29,StationB,23.4,68.2
2023-10-30,StationC,24.9,70.1
2023-10-31,StationA,25.6,65.5
2023-10-01,StationA,24.5,65.0
2023-10-02,StationB,22.8,70.5
2023-10-03,StationC,NaN,62.3
2023-10-04,StationA,26.0,NaN
